"Iteration: Iteration","Y-momentum: Y-momentum"
1,1
2,0.87825392975753858
3,0.77831197437948463
4,0.69442114651463382
5,0.61916561040623275
6,0.55188516308146107
7,0.49186266186300753
8,0.4386698494752504
9,0.39179626243436083
10,0.35061736273268784
11,0.31434922970752754
12,0.28236532508328727
13,0.25376923143301933
14,0.22794901107547746
15,0.20445912247340264
16,0.18298717394985417
17,0.16351239660259395
18,0.14644747748162557
19,0.13224716377991172
20,0.12140389765177866
21,0.11400173851452683
22,0.10969265303628058
23,0.10762493843938936
24,0.10658791095362265
25,0.10578118012315356
26,0.10454712189977068
27,0.10246526087362055
28,0.099345704996778875
29,0.095199741346563949
30,0.090372484296599262
31,0.085282934546876563
32,0.080128490274687644
33,0.075043556820947516
34,0.070121692026081706
35,0.065338019026079955
36,0.060887397838026755
37,0.056891727219620526
38,0.053045778750025918
39,0.049594707859617317
40,0.046610760515589392
41,0.044147290478950496
42,0.042300048221753407
43,0.041194777985486868
44,0.040739452621242393
45,0.041165979346617462
46,0.042570135082362862
47,0.044823478626349007
48,0.047823183024083921
49,0.051189478596319483
50,0.054563837408350892
51,0.057382836948190408
52,0.059930244070655024
53,0.061722487476999016
54,0.062728231958572453
55,0.063589800963593485
56,0.06413990442556769
57,0.063678524493156238
58,0.062423421421911075
59,0.060950745645382359
60,0.059161083777086669
61,0.057202933420333092
62,0.055141921597248907
63,0.052556502022884179
64,0.049882561541037172
65,0.047208175135693857
66,0.044231768220135942
67,0.041204782758193503
68,0.038051092950844904
69,0.035097316507150672
70,0.032376291605558702
71,0.029837362445336017
72,0.02764222233178543
73,0.02557321684305168
74,0.023698757456195596
75,0.022039735982032415
76,0.020637718503169138
77,0.01936154963275992
78,0.018273994913468209
79,0.017316038395686455
80,0.016576378057598814
81,0.015902419465785009
82,0.015370410094113876
83,0.014878617605068619
84,0.014492768424028846
85,0.014154395861316294
86,0.013861868748481625
87,0.013601845406208591
88,0.013383219761926426
89,0.013204419568147684
90,0.012975515638474816
91,0.012751459852888119
92,0.012555062587102666
93,0.012365314888304011
94,0.012166822699351683
95,0.012081740471837556
96,0.011968435539305213
97,0.0119257392632965
98,0.011795106883900758
99,0.011612939592860992
100,0.01144857873769942
101,0.011397691017666427
102,0.011432311348835539
103,0.011674430573802838
104,0.011737782633337853
105,0.011083047275105945
106,0.010804202264493152
107,0.011413104162496916
108,0.01218880575754872
109,0.012539964146160393
110,0.012455670342329516
111,0.012101153305404913
112,0.012334555230132417
113,0.013053639498970497
114,0.013949172415420716
115,0.01414596995678752
116,0.013845195646032213
117,0.013350772481943097
118,0.01305179800266547
119,0.013552157632361547
120,0.014329892538359692
121,0.014332392019852258
122,0.01340677469356575
123,0.012218775109290644
124,0.011439077107880993
125,0.010967192921855044
126,0.010641746806389565
127,0.010241932985137777
128,0.0094294690563836939
129,0.0085420348734975421
130,0.0076898367684640079
131,0.0068152469809567278
132,0.0060815021450966135
133,0.0054777787582419276
134,0.0049273412373785179
135,0.0044234107746636223
136,0.0040007602929240643
137,0.0036914877005740873
138,0.0035155204489255854
139,0.0034694159763054219
140,0.0035275679571871803
141,0.0036461603577749211
142,0.003747017975183621
143,0.0037813286594937895
144,0.0037403729094388082
145,0.0036102022454270371
146,0.0034415756505536107
147,0.0032926449708268629
148,0.0031597064248486853
149,0.0030140226410048298
150,0.0029380571613890267
151,0.0028763662581302138
152,0.0028823343975900302
153,0.0029777555889274844
154,0.0031371807187312202
155,0.003356900877560921
156,0.0036576157604690691
157,0.0040480065271098972
158,0.0044849041071790734
159,0.004936698929146428
160,0.0052991973451849955
161,0.0054362513013785354
162,0.0055024356235498853
163,0.0055318221593019783
164,0.0056704191325213085
165,0.0059794558595370473
166,0.0062680296933587173
167,0.0063849881374122832
168,0.006479687301961452
169,0.0067168507440035852
170,0.006876737649290865
171,0.0069314336036835648
172,0.0067757122129918756
173,0.006617968091549074
174,0.0064391671462046465
175,0.0061172891056473899
176,0.0058412895052277784
177,0.0055790188248400988
178,0.0052900444609214892
179,0.0050028864979604704
180,0.0047412994682782591
181,0.0044067225914265753
182,0.0040998038567559587
183,0.0038311392267796241
184,0.0035307924963538014
185,0.0031462996687163414
186,0.0028358031959728426
187,0.0025894179098218573
188,0.0023697625131889129
189,0.002171652183118376
190,0.0019717705334275732
191,0.0017983396140499788
192,0.0016395640812786869
193,0.0014827979466085625
194,0.0013427980598744098
195,0.0012282330319509541
196,0.0011401767466500568
197,0.0010992702829907617
198,0.0010940052817969182
199,0.0011068151566769819
200,0.0011287723416252404
201,0.0011579911267291763
202,0.001198190837516724
203,0.0012509170785377673
204,0.0013054754251483501
205,0.0013620686548375435
206,0.0014299830525204909
207,0.0015088124102804914
208,0.0015999176429317627
209,0.0016894101453876688
210,0.0017788999535122843
211,0.0018631199352921357
212,0.0019420326379478261
213,0.002013386675236168
214,0.0020579890533387359
215,0.0020954501665294747
216,0.0021387948041450616
217,0.0021831420934255432
218,0.0022422258468589988
219,0.0023018976007824566
220,0.0023666253167776356
221,0.0024404086258097949
222,0.0025072814336233682
223,0.0025602878260005632
224,0.0026012556434589344
225,0.0026282325813980732
226,0.0026682832218447704
227,0.0027167448921781145
228,0.0027209516188922344
229,0.0026839023870842134
230,0.0026382180961133871
