"Iteration: Iteration","X-momentum: X-momentum"
1,1
2,0.85817129182468044
3,0.72857653825551028
4,0.64110828126648545
5,0.56845608081359622
6,0.50686487598019669
7,0.45362557522074398
8,0.40854308106625226
9,0.37141997257498871
10,0.34102843985414155
11,0.31616020307019216
12,0.29553177010324466
13,0.27804766916002088
14,0.26294810201646679
15,0.24973734796307734
16,0.23817321966359875
17,0.22809638854591305
18,0.21948795838654314
19,0.21215478349673059
20,0.2060506716225548
21,0.20099254236845149
22,0.19692773217410223
23,0.19361196883390425
24,0.19077366449331914
25,0.18820716927610451
26,0.18559688444115049
27,0.18279605314853692
28,0.17963953898046994
29,0.17596184021738462
30,0.17175345271660061
31,0.16685947067015267
32,0.16137709398311958
33,0.15516579010976081
34,0.1484468326456331
35,0.14139157400565905
36,0.13401808375020055
37,0.12643051055358184
38,0.11881627062234347
39,0.11113987754220607
40,0.10350881502218653
41,0.095879641411362529
42,0.088492158102211005
43,0.081544584109198667
44,0.075133822755547558
45,0.069476882513361038
46,0.064883232924282219
47,0.061601817049041309
48,0.060005586010090685
49,0.060372081428674139
50,0.062888051178884879
51,0.068001769310904875
52,0.072129979313878656
53,0.078721345803259249
54,0.082704234180632358
55,0.087778915362941551
56,0.093711954644574699
57,0.10132672900524274
58,0.10581842879260507
59,0.11206749019466707
60,0.11415142230228234
61,0.11648108818564491
62,0.11878097310306983
63,0.12153685104451344
64,0.12100384441551691
65,0.12091220660147702
66,0.11732593473319811
67,0.11363413450979594
68,0.10765156497359235
69,0.10202291016627406
70,0.09543417703115957
71,0.089252338751464086
72,0.082580756831327803
73,0.076221513226241447
74,0.06971996474927071
75,0.063749922678565246
76,0.057933154636294594
77,0.05269123031367786
78,0.047630471093876671
79,0.043127808687667323
80,0.039021665694861679
81,0.035320750843321383
82,0.031899427083541577
83,0.028909285752962328
84,0.026079298732123266
85,0.023680113833797294
86,0.021424867248962212
87,0.019660279161755393
88,0.017999630705892333
89,0.016830568857909192
90,0.015731654047140841
91,0.015090202351992831
92,0.014481885193671971
93,0.014255150390241786
94,0.01391370465145586
95,0.013808808065646813
96,0.014010511111057146
97,0.01414408355953937
98,0.014360534059877632
99,0.014121130238293918
100,0.014088177149424029
101,0.014280373353031315
102,0.014550759239704366
103,0.01456499758070502
104,0.014970739788020992
105,0.015634713458632234
106,0.01541489379279826
107,0.015271036136569492
108,0.015467973920613038
109,0.015209605295695055
110,0.015718765364499929
111,0.016774861266517192
112,0.016830585723155825
