"Iteration","Continuity: Residual","Energy: Residual","Sa_nut: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.8387170188756855,0.8335810160444868,0.6394706038273381,0.8581712918246804,0.8782539297575386
3.0,0.7102586490298274,0.7012918051803242,0.40941613252113174,0.7285765382555103,0.7783119743794846
4.0,0.606992551486801,0.594909014412093,0.26263193625450126,0.6411082812664854,0.6944211465146338
5.0,0.5189031156811288,0.5044373257265498,0.1692501496164956,0.5684560808135962,0.6191656104062327
6.0,0.44452503527579684,0.4281475683120898,0.11034032944305795,0.5068648759801967,0.5518851630814611
7.0,0.38234606194136916,0.36453368860385144,0.07437143603655637,0.453625575220744,0.49186266186300753
8.0,0.33080320592486756,0.3120147242755219,0.05423447259653776,0.40854308106625226,0.4386698494752504
9.0,0.288635030549462,0.2692026400466412,0.04249691586725134,0.3714199725749887,0.39179626243436083
10.0,0.25442122786943583,0.23450545309354096,0.03603681456241052,0.34102843985414155,0.35061736273268784
11.0,0.22641400054558536,0.2062471238685076,0.0329336746110401,0.31616020307019216,0.31434922970752754
12.0,0.20356565249659447,0.1832057631603993,0.031462435321393444,0.29553177010324466,0.28236532508328727
13.0,0.18485356036541653,0.16426045768750738,0.030739496018342798,0.2780476691600209,0.2537692314330193
14.0,0.16933627425181555,0.14843743209182894,0.030280756980849453,0.2629481020164668,0.22794901107547746
15.0,0.15652101615241365,0.13526415908566322,0.029864998277392297,0.24973734796307734,0.20445912247340264
16.0,0.14594717991737616,0.1244175896440335,0.029398032813381887,0.23817321966359875,0.18298717394985417
17.0,0.1371835465169162,0.11564271054666307,0.02891021024917215,0.22809638854591305,0.16351239660259395
18.0,0.12971113966029782,0.10863158570772441,0.028400637102505618,0.21948795838654314,0.14644747748162557
19.0,0.12319703193547277,0.10319663251808532,0.02788804168967708,0.2121547834967306,0.13224716377991172
20.0,0.11758134781255344,0.09929832474226243,0.027391051125989274,0.2060506716225548,0.12140389765177866
21.0,0.11279566065808426,0.09680920354837314,0.026938459765888767,0.2009925423684515,0.11400173851452683
22.0,0.10887204229126114,0.09565542352841663,0.026542774282062996,0.19692773217410223,0.10969265303628058
23.0,0.10594231235229577,0.09568207133120456,0.02621981090315051,0.19361196883390425,0.10762493843938936
