"Iteration: Iteration","Sa_nut: Sa_nut"
1,1
2,0.63947060382733811
3,0.40941613252113174
4,0.26263193625450126
5,0.16925014961649559
6,0.11034032944305795
7,0.074371436036556368
8,0.054234472596537762
9,0.042496915867251343
10,0.036036814562410521
11,0.032933674611040097
12,0.031462435321393444
13,0.030739496018342798
14,0.030280756980849453
15,0.029864998277392297
16,0.029398032813381887
17,0.02891021024917215
18,0.028400637102505618
19,0.027888041689677082
20,0.027391051125989274
21,0.026938459765888767
22,0.026542774282062996
23,0.026219810903150509
24,0.025962896304573449
25,0.025771393187167261
26,0.025628841075319625
27,0.025552081673975494
28,0.025523116809322673
29,0.025526205415262623
30,0.025553573138831821
31,0.025572710736748511
32,0.025567003641568456
33,0.025544753923642052
34,0.025491314853767134
35,0.025409394709953452
36,0.025289008805321821
37,0.025117685762623004
38,0.024879823811206847
39,0.024586992007869384
40,0.02422726543709516
41,0.023808741804340495
42,0.02332693920413997
43,0.022778029940652745
44,0.022158467260955435
45,0.02146144282113735
46,0.020696435151983231
47,0.019884537948505452
48,0.019057412117361366
49,0.018272763713811167
50,0.017618361675950437
51,0.017187765162393058
52,0.017056681939761422
53,0.01741159957355037
54,0.018167660858708756
55,0.019605773361952322
56,0.021849538535626999
57,0.025015883220312621
58,0.02880276617768571
59,0.03374590758740225
60,0.039312118611502939
61,0.046205049352317
62,0.054648723937857413
63,0.065127539971980813
64,0.077023751051799941
65,0.091392246475548847
66,0.10698980831523182
67,0.12502042029397423
68,0.14417448522427409
69,0.16549612145775819
70,0.18749043424103429
71,0.21120099335773151
72,0.23487714029123119
73,0.2595810681422564
74,0.2833466786170471
75,0.3072880009417065
76,0.33022412632805753
77,0.3533251146533648
78,0.37562770290337605
79,0.39732555456548602
80,0.41743124741496984
81,0.43641275217081194
82,0.45415920093868256
83,0.47142376618297216
84,0.4882610164574237
85,0.50467477400087557
86,0.52050108913889104
87,0.5359571835008895
88,0.55116284761516543
89,0.5664032039884429
90,0.58121185656204788
91,0.59546410452713106
92,0.60842726318473217
93,0.6212337017494185
94,0.63368148799597546
95,0.64692270735881552
96,0.66036036193554914
97,0.67285931543856503
98,0.68452797654839681
99,0.69396541687465729
100,0.7021787977745404
101,0.70996991554044209
102,0.71802493733945127
103,0.72577690474129608
104,0.73382402437882366
105,0.74054029469516747
106,0.74602486585458605
107,0.75106976752048726
108,0.75454754351279096
109,0.75759529785479618
110,0.76019558329291592
111,0.76302263062032705
112,0.76671063927370098
113,0.77141009961280604
114,0.77632809731785812
115,0.78065538857957006
116,0.7846500909214057
117,0.78832906946708259
118,0.79249558055240776
119,0.79707979394939921
120,0.8017773547370286
121,0.80688638732928564
122,0.81248618278737572
123,0.81878242586654237
124,0.82517899081010782
125,0.83079735678762301
126,0.83580350151050797
127,0.8407598202808696
128,0.84538131822936424
129,0.85046755619401393
